canonical_name,canonical_slug,category,culinary_group
Aji Cristal,aji-cristal,Chile Pepper,Pepper
Aji Dulce,aji-dulce,Chile Pepper,Pepper
Aji Limon,aji-limon,Chile Pepper,Pepper
Aji Rojo,aji-rojo,Chile Pepper,Pepper
Aji amarillo,aji-amarillo,Chile Pepper,Pepper
Anaheim Pepper,anaheim-pepper,Chile Pepper,Pepper
Banana pepper,banana-pepper,Chile Pepper,Pepper
Bell Pepper,bell-pepper,Chile Pepper,Pepper
Carolina Reaper,carolina-reaper,Chile Pepper,Pepper
Cayenne Pepper,cayenne-pepper,Chile Pepper,Pepper
Chilaca,chilaca,Chile Pepper,Pepper
Cubanelle,cubanelle,Chile Pepper,Pepper
Fresno Pepper,fresno-pepper,Chile Pepper,Pepper
Ghost Pepper,ghost-pepper,Chile Pepper,Pepper
Habanero,habanero,Chile Pepper,Pepper
Hatch Chile,hatch-chile,Chile Pepper,Pepper
Hungarian Wax Pepper,hungarian-wax-pepper,Chile Pepper,Pepper
Jalapeno,jalapeno,Chile Pepper,Pepper
Manzano Pepper,manzano-pepper,Chile Pepper,Pepper
Padron Pepper,padron-pepper,Chile Pepper,Pepper
Poblano Pepper,poblano-pepper,Chile Pepper,Pepper
Scotch Bonnet,scotch-bonnet,Chile Pepper,Pepper
Serrano Pepper,serrano-pepper,Chile Pepper,Pepper
Shishito Pepper,shishito-pepper,Chile Pepper,Pepper
Sweet Mini Pepper,sweet-mini-pepper,Chile Pepper,Pepper
Thai Chile,thai-chile,Chile Pepper,Pepper
Trinidad Scorpion,trinidad-scorpion,Chile Pepper,Pepper
Borage,borage,Edible Flower,Floral
Calendula,calendula,Edible Flower,Floral
Chamomile,chamomile,Edible Flower,Floral
Chive Blossom,chive-blossom,Edible Flower,Floral
Hibiscus,hibiscus,Edible Flower,Floral
Lavender,lavender,Edible Flower,Floral
Marigold,marigold,Edible Flower,Floral
Nasturtium,nasturtium,Edible Flower,Floral
Orchid flowers,orchid-flowers,Edible Flower,Floral
Pansy,pansy,Edible Flower,Floral
Rose Petal,rose-petal,Edible Flower,Floral
Squash Blossom,squash-blossom,Edible Flower,Floral
Viola flowers,viola-flowers,Edible Flower,Floral
Zinnia,zinnia,Edible Flower,Floral
Blackberry,blackberry,Fruit,Berry
Blueberry,blueberry,Fruit,Berry
Boysenberry,boysenberry,Fruit,Berry
Cape gooseberry,cape-gooseberry,Fruit,Berry
Cranberry,cranberry,Fruit,Berry
Currant,currant,Fruit,Berry
Goldenberry,goldenberry,Fruit,Berry
Gooseberry,gooseberry,Fruit,Berry
Grape,grape,Fruit,Berry
Loganberry,loganberry,Fruit,Berry
Mulberry,mulberry,Fruit,Berry
Raspberry,raspberry,Fruit,Berry
Strawberry,strawberry,Fruit,Berry
Tayberry,tayberry,Fruit,Berry
Blood Orange,blood-orange,Fruit,Citrus
Grapefruit,grapefruit,Fruit,Citrus
Key lime,key-lime,Fruit,Citrus
Kumquat,kumquat,Fruit,Citrus
Lemon,lemon,Fruit,Citrus
Lime,lime,Fruit,Citrus
Mandarin,mandarin,Fruit,Citrus
Mandarinquat,mandarinquat,Fruit,Citrus
Meyer lemon,meyer-lemon,Fruit,Citrus
Navel Orange,navel-orange,Fruit,Citrus
Pink Lemon,pink-lemon,Fruit,Citrus
Pummelo,pummelo,Fruit,Citrus
Tangelo,tangelo,Fruit,Citrus
Tangerine,tangerine,Fruit,Citrus
Ugli fruit,ugli-fruit,Fruit,Citrus
Valencia Orange,valencia-orange,Fruit,Citrus
Cantaloupe,cantaloupe,Fruit,Cucurbit
Crane Melon,crane-melon,Fruit,Cucurbit
Honeydew,honeydew,Fruit,Cucurbit
Watermelon,watermelon,Fruit,Cucurbit
Apple,apple,Fruit,Pome Fruit
Asian Pear,asian-pear,Fruit,Pome Fruit
Loquat,loquat,Fruit,Pome Fruit
Pear,pear,Fruit,Pome Fruit
Quince,quince,Fruit,Pome Fruit
Apricot,apricot,Fruit,Stone Fruit
Cherry,cherry,Fruit,Stone Fruit
Nectarine,nectarine,Fruit,Stone Fruit
Peach,peach,Fruit,Stone Fruit
Plum,plum,Fruit,Stone Fruit
Pluot,pluot,Fruit,Stone Fruit
Avocado,avocado,Fruit,Tropical Fruit
Banana,banana,Fruit,Tropical Fruit
Black sapote,black-sapote,Fruit,Tropical Fruit
Canistel,canistel,Fruit,Tropical Fruit
Carambola,carambola,Fruit,Tropical Fruit
Cherimoya,cherimoya,Fruit,Tropical Fruit
Coconut,coconut,Fruit,Tropical Fruit
Date,date,Fruit,Tropical Fruit
Dragon Fruit,dragon-fruit,Fruit,Tropical Fruit
Durian,durian,Fruit,Tropical Fruit
Fig,fig,Fruit,Tropical Fruit
Gold kiwifruit,gold-kiwi,Fruit,Tropical Fruit
Guava,guava,Fruit,Tropical Fruit
Jackfruit,jackfruit,Fruit,Tropical Fruit
Jujube,jujube,Fruit,Tropical Fruit
Kiwi,kiwi,Fruit,Tropical Fruit
Longan,longan,Fruit,Tropical Fruit
Lychee,lychee,Fruit,Tropical Fruit
Mamey sapote,mamey-sapote,Fruit,Tropical Fruit
Mango,mango,Fruit,Tropical Fruit
Mangosteen,mangosteen,Fruit,Tropical Fruit
Olive,olive,Fruit,Tropical Fruit
Papaya,papaya,Fruit,Tropical Fruit
Passion Fruit,passion-fruit,Fruit,Tropical Fruit
Persimmon,persimmon,Fruit,Tropical Fruit
Pineapple,pineapple,Fruit,Tropical Fruit
Pineapple Guava,pineapple-guava,Fruit,Tropical Fruit
Plantain,plantain,Fruit,Tropical Fruit
Pomegranate,pomegranate,Fruit,Tropical Fruit
Prickly Pear,prickly-pear,Fruit,Tropical Fruit
Rambutan,rambutan,Fruit,Tropical Fruit
Sapote,sapote,Fruit,Tropical Fruit
Soursop,soursop,Fruit,Tropical Fruit
Star fruit,star-fruit,Fruit,Tropical Fruit
